Codigo,clave,descripcion
10404,MUT-202,Multímetro para mantenimiento industrial con gancho
10434,AB-GT-26,Abrazadera para mango de madera
10435,EST-23,"Escalera de tijera tipo II, 3 escalones"
10436,EST-29,"Escalera de tijera tipo II, 9 escalones, con bandeja"
10437,EST-36,"Escalera de tijera tipo III, 6 escalones, con bandeja"
10438,ESTA-34,"Escalera de tijera, aluminio, tipo lll, 4 escalones"
10439,ESTA-35,"Escalera de tijera, aluminio, tipo lll, 5 escalones"
10440,CAT-KID-T,"Carretilla tubular para niños, 88x41 cm"
10442,ESTA-36,"Escalera de tijera, aluminio, tipo lll, 6 escalones"
10445,ESTA-24,"Escalera de tijera, aluminio, tipo ll, 4 escalones"
10447,INCO-100,Inversor de corriente 100 W
10448,INCO-200,Inversor de corriente 200 W
10449,INCO-400,Inversor de corriente 400W
10450,ESTA-25,"Escalera de tijera, aluminio, tipo ll, 5 escalones"
10459,ESTA-26,"Escalera de tijera, aluminio, tipo ll, 6 escalones"
10460,ESTA-27,"Escalera de tijera, aluminio, tipo ll, 7 escalones"
10463,LIPLA45-K,"Linterna plástica de Led, luz abierta, 2 pilas AA, 45 Lm"
10464,LIPLA60-K,"Linterna plástica de Led, luz abierta, 2 pilas D, 60 Lm"
10469,ESTA-28,"Escalera de tijera, aluminio, tipo ll, 8 escalones"
10490,INCO-750,Inversor de corriente de 750 watts
10491,INCO-1000,Inversor de corriente de 1000 watts
10492,INCO-1500,Inversor de corriente de 1500 watts
10493,INCO-CAB,Cable para inversores de 1000 y 1500 w.
10494,DTROM-12B,"Desarmador tipo trompo con matraca, 6 puntas dobles,blister"
10495,ESTD-24,"Escalera de tijera doble, tipo ll, 4 escalones"
10496,ESTD-25,"Escalera de tijera doble, tipo ll, 5 escalones"
10497,ESTD-26,"Escalera de tijera doble, tipo ll, 6 escalones"
10498,ESTD-27,"Escalera de tijera doble, tipo ll, 7 escalones"
10499,TABU-2,Taburete de 2 escalones
10509,CAB-5432-18-A,"Cable de protección con 2 ganchos, 1.8 m, certificaciónANSI"
10510,CAB-5430-18-A,"Cable con absorbedor de impacto, 1.8 m, certificación ANSI"
10511,CAB-5489-15-A,"Cable de protección con 2 ganchos, 1.5 m, certificación ANSI"
10512,CAB-5489-20-A,"Cable de protección con 2 ganchos, 2 m, certificación ANSI"
10539,CPE-16N,"Caja para pesca, 16', naranja"
10540,ADC-5/8,"Adaptador para discos tipo 1, rosca, 5/8-11 NC, de 7-9' std"
