Codigo,clave,descripcion
14342,EMX-24,"Escoba metálica con 24 dientes, cabeza recta"
14344,EP15-CG,"Escoba plástica, 15 dientes, Classic Gardener, mango 54'"
14345,EP-15,"Escoba de polipropileno con 15 dientes, alto impacto"
14346,EP15-KID,"Escoba de jardín para niños, mango 42'"
14348,CAB-250A,"Cable para soldadora SOT-250A, con pinza de tierra"
14349,CAB-300,"Cable para soldadora SOT-300/200, con pinza de tierra"
14350,SOT-100,"Soldadora arco eléctrico, corriente alterna 100A"
14351,SOT-225,"Soldadora arco eléctrico, corriente alterna 225A"
14352,SOT-250,"Soldadora arco eléctrico, corriente alterna 250A"
14353,SOT-300/200,"Soldadora arco eléctrico, corriente alterna/directa 300-200A"
14354,SOT-300/250X,"Soldadora arco eléctrico, corriente alterna/directa 300-250A"
14355,SOT-250A,"Soldadora arco eléctrico, corriente alterna 250A"
14357,CAB-225,"Cable para soldadora SOT-225, con pinza de tierra"
14358,SOT-145G,"Soldadora a gasolina, 145 Amperes con generador"
14359,GEN-100X,"Generador eléctrico a gasolina, 12,000 W"
14360,E6013-3,"Electrodo 6013 de 3/32', bolsa de 1 kg"
14361,E6013-4,"Electrodo 6013 de 1/8', bolsa de 1 kg"
14362,E6013-5,"Electrodo 6013 de 5/32', bolsa de 1 kg"
14363,E7018-4,"Electrodo 7018 de 1/8', bolsa de 1 kg"
14364,E7018-5,"Electrodo 7018 de 5/32', bolsa de 1 kg"
14365,SOL-50/50,Soldadura núcleo de resina 50/50 para tubería hidráulica
14366,SOL-60/40,Soldadura núcleo de resina 60/40 para electrónica
14367,SOL-95/5,Soldadura núcleo de resina 95/5 para tuberías de gas
14368,CAB-300X,"Cable para soldadora SOT-300/250X, con pinza de tierra"
14369,ECT-6,"Escuadra de combinación, 6'"
14370,EC-6,"Escuadra para carpintero, 6'"
14372,EC-8,"Escuadra para carpintero, 8'"
14374,EC-10,"Escuadra para carpintero, 10'"
14376,EC-12,"Escuadra para carpintero, 12'"
14380,ECT-12,"Escuadra de combinación, 12'"
14381,ECT-16,"Escuadra de combinación, 16'"
14382,EFT-8,"Escuadra falsa, mango de plástico, 8'"
14384,E-16X24,"Escuadra para cantero, 16'x24'"
14385,EFT-9X,"Escuadra falsa, mango de madera, 9'"
14386,E-8X12,"Escuadra para cantero, 8'x12'"
14387,RGL-30,"Regla de acero inoxidable, 30 cm."
14388,CALDI-6MP,"Calibrador digital de 6', milimétrico y standard"
14390,CALCA-150,"Calibrador de carátula, 150 mm"
14392,CALCA-6,"Calibrador de carátula, 6'"
14394,CAL-6MP,"Calibrador de 6', milimétrico y standard"
14395,CAL-15,"Calibrador para bujías, 15 hojas"
14396,CAL-26,"Calibrador para bujías, 26 hojas"
14397,CAL-32,"Calibrador para bujías, 32 hojas"
14398,CAL-R,Calibrador redondo para bujías
14399,MEA-100I,"Calibrador de aire, digital, 100 PSI"
14412,PONCHO,"Poncho unitalla, espesor 0.25mm, PVC"
14413,IMPER-S,"Gabardina talla chica, PVC"
14414,IMPER-M,"Gabardina talla mediana, PVC"
14415,IMPER-L,"Gabardina talla grande, PVC"
14416,IMPER-XL,"Gabardina talla extra-grande, PVC"
14417,TRA-PRO-S,"Conjunto impermeable, talla chica, PVC"
14418,TRA-PRO-M,"Conjunto impermeable, talla mediana, PVC"
14419,TRA-PRO-L,"Conjunto impermeable, talla grande, PVC"
14420,TRA-PRO-XL,"Conjunto impermeable, talla Extra G, PVC"
14421,OVERD-L,"Overol desechable, talla grande"
14422,OVERD-XL,"Overol desechable, talla extra-grande"
14425,CHS-500V,"Chaleco de seguridad, alta visibilidad, verde"
14426,CHS-500N,"Chaleco de seguridad, alta visibilidad, naranja"
14427,MAS-PLE,Mascarilla plegable
14431,ARN-5434,"Arnés de pecho, 1 anillo"
14432,ARN-5435,"Arnés de cuerpo completo, 1 anillo"
14433,ARN-5437,"Arnés de cuerpo completo, 3 anillos, rescate"
14434,ARN-5438,"Arnés cuerpo completo, 5 anillos, posicionamiento y rescate"
14435,CAB-5489-15,"Cable de protección con 2 ganchos, 1.5 m"
14436,CAB-5489-20,"Cable de protección con 2 ganchos, 2 m"
14439,ARN-5436,"Arnés cuerpo completo, 3 anillos, posicionamiento"
14440,ET-1R,"Espátula rígida, mango de madera, 1'"
14441,ET-2R,"Espátula rígida, mango de madera, 2'"
14442,ET-3R,"Espátula rígida, mango de madera, 3'"
14443,ET-2P,"Espátula plástica, 2'"
14444,ET-3P,"Espátula plástica, 3'"
14445,ET-4P,"Espátula plástica, 4'"
14446,CAB-5430-18,"Cable de protección con absorbedor de impacto, 1.8 m"
14447,ET-1F,"Espátula flexible, mango de madera, 1'"
14448,ET-2F,"Espátula flexible, mango de madera, 2'"
14449,ET-3F,"Espátula flexible, mango de madera, 3'"
14450,ET-4F,"Espátula flexible, mango de madera, 4'"
14451,ET-5F,"Espátula flexible, mango de madera, 5'"
14452,ET-6F,"Espátula flexible, mango de madera, 6'"
14454,CAB-5432-18,"Cable de protección con 2 ganchos, 1.8 m"
14457,ET-3RA,"Espátula afilada y angulada, mango de madera, 3'"
14458,ET-2-1/2R5,"Espátula de 5 usos, mango de madera, 2-1/2'"
14459,ETA-8,"Espátula tapizadora, 8'"
14460,ETA-10,"Espátula tapizadora, 10'"
14461,ETA-12,"Espátula tapizadora, 12'"
14462,NL-8,"Cuchillo curvo para linóleo, 8'"
14470,ANCLA-9,"Ancla de conexión para arneses, 90 cm"
14480,BRT-1/2,Brocha 1/2' con mango de plástico
14481,BRT-1,Brocha 1' con mango de plástico
14482,BRT-1-1/2,Brocha 1-1/2' con mango de plástico
14483,BRT-2,Brocha 2' con mango de plástico
14484,BRT-2-1/2,Brocha 2-1/2' con mango de plástico
14485,BRT-3,Brocha 3' con mango de plástico
14486,BRT-4,Brocha 4' con mango de plástico
14487,BRT-5,Brocha 5' con mango de plástico
14488,BRT-6,Brocha 6' con mango de plástico
14489,CEPP-50,"Cepillo para pintor, cerda natural y sintética"
14490,CEPP-52,"Cepillo para pintor, cerda natural"
14491,CEPP-54,"Cepillo para pintor, semi-rígido, cerda ixtle"
14492,BREN-4,"Brocha para encalar con mango de plástico, 4'"
14493,BREN-5,"Brocha para encalar con mango de plástico, 5'"
14494,BREN-6,"Brocha para encalar con mango de plástico, 6'"
14496,CEPP-55,"Cepillo para pintor, semi-rígido, cerda sintética"
14497,CEPP-53,"Cepillo para pintor, semi-rígido, cerda ixtle y sintética"
14498,EX-P2-6,"Extractor de poleas, 2 quijadas, 6'"
14499,EX-P2-10,"Extractor de poleas, 2 quijadas, 10'"
14500,EX-P3,"Extractor de poleas, 3 quijadas, 3'"
14501,EX-PACA,"Extractor de poleas, pata de cabra"
14502,EX-OROS,Extractor para engranes y orificios roscados
14503,EX-P4,"Extractor de poleas, 3 quijadas, 4'"
14505,JGO-DIR,Juego para bombas de dirección
14506,EX-P6,"Extractor de poleas, 3 quijadas, 6'"
14508,EXT-10,"Juego de extractores de volantes, 10 piezas"
14509,EX-P8,"Extractor de poleas, 3 quijadas, 8'"
14510,EXT-13,Juego de extractor tipo pata de gallo con 13 piezas
14511,EXT-15,Juego de extractor tipo pata de gallo con 15 piezas
14512,EXT-5,"Juego extractores de tornillos, 5 piezas"
14513,EX-PIT-L,"Extractor Pitman, alcance 54 mm, uso ligero"
14514,EX-PIT-P,"Extractor Pitman, alcance 63 mm, uso pesado"
14515,LF-5,"Llave de banda metálica, 3-1/4'"
14516,EX-B2,Extractor de baleros hasta 2-1/4'
14517,EX-B4,"Extractor de baleros, 4-1/4'"
14518,LF-10,"Llave de banda metálica, 3 3/4'"
14522,CO-AN-DI,Compresor para anillos diesel
14524,CO-RES-VA,Compresor de resortes de válvulas con cabeza
14526,LL-BA-FA,"Llave de banda nailon, 150 mm"
14528,CO-RE-VA,"Compresor de resortes de válvulas, 166mm a 253mm"
14533,RECI-3,"Rectificador para cilindro de motor, 2 a 7'"
14534,REP-RECI-3,Repuesto para rectificador RECI-3
14536,CO-AN-PI,Compresor para anillos de pistón
14543,LL-FA-MA,Llave de filtro de 3 puntos
14544,ESP-TEL,Espejo telescópico de inspección
14546,LL-3Q-FA,Llave de filtro universal
14577,FH-3M,"Flexómetro Gripper, contra impacto, 3 m, cinta 1/2'"
14578,FH-5M,"Flexómetro Gripper, contra impacto, 5 m, cinta 3/4'"
14579,FH-8M,"Flexómetro Gripper, contra impacto, 8 m, cinta 1'"
14582,FH-10M,"Flexómetro Gripper, contra impacto, 10 m, cinta 1-1/4'"
14602,FH-2,"Flexómetro tipo llavero, 2 m"
14613,FH-55M,"Flexómetro Gripper, contra impacto, 5.5 m, cinta 1'"
14615,FT-1/4,"Formón, mango comfort grip, 1/4'"
14618,FT-3/8,"Formón, mango comfort grip, 3/8'"
14621,FT-1/2,"Formón, mango comfort grip, 1/2'"
14624,FT-5/8,"Formón, mango comfort grip, 5/8'"
14627,FT-3/4,"Formón, mango comfort grip, 3/4'"
14630,FT-7/8,"Formón, mango comfort grip, 7/8'"
14633,FT-1,"Formón, mango comfort grip, 1'"
14636,FT-1-1/4,"Formón, mango comfort grip, 1-1/4'"
14639,FT-1-1/2,"Formón, mango comfort grip, 1-1/2'"
14642,LLP-8-1,"Ensamble de rueda y llanta delantera, 8'"
14643,LLP-12-1,"Ensamble de rueda y llanta trasera,12'"
14644,BOL-P,Bolsa para pasto de repuesto
14645,AD-CU-P,Adaptador de cuchillas de repuesto
14646,CU-P-418,Cuchilla de 18' para podadora
14647,CU-P-520,Cuchilla de 20' para podadora
14648,CU-P-622,Cuchilla de 22' para podadora
14649,LLP-418-7,"Ensamble de rueda y llanta delantera, 7'"
14650,CARB-ROTO-1/2A7,Carbones de repuesto para ROTO-1/2A7
14651,JGO-CAS6X,"Juego casero de herramientas, 6 piezas"
14652,CP-5202-44,Cinturón de posicionamiento talla 44
14654,ADAP-PLUS,"Adaptador para rotomartillos, SDS PLUS"
14658,ROTO-1/2A8,"Rotomartillo 1/2', profesional, 700 W"
14659,ROTO-1/2A9,"Rotomartillo 1/2', profesional, 850 W"
14662,CARB-ROTO-1/2A8,Carbones de repuesto para ROTO-1/2A8
14663,CHS-900R,"Chaleco brigadista con cintas reflejantes, color rojo"
14664,CHS-900V,"Chaleco brigadista con cintas reflejantes, color verde"
14667,CHS-900AM,"Chaleco brigadista con cintas reflejantes, color azul"
14668,CHS-900B,"Chaleco brigadista con cintas reflejantes, color beige"
14669,CHS-900N,"Chaleco brigadista con cintas reflejantes, color naranja"
14670,CHS-900AR,"Chaleco brigadista con cintas reflejantes, color azul rey"
14672,CARB-ROTO-1/2A9,Carbones de repuesto para ROTO-1/2A9
14673,CARB-TAL-3/8A2,Carbones de repuesto para taladro TAL-3/8A2
14674,CARB-PULA-7N,Carbones de repuesto para pulidora PULA-7N
14695,FUM-12,"Fumigador de mochila, 12 lts"
14707,"EM-FTP-4,8",Empaques de repuesto para FTP-4 y 8
14709,"MD-FTP-4,8",Manguera y dosificador de repuesto para FTP-4 y 8
14711,LAN-FTP-4,Lanza de latón para fumigador FTP-4
14713,LAN-FTP-8,Lanza de latón para fumigador FTP-8
14719,MAW-27C,"Malacate con manivela, 300 kg, con cable"
14720,MAW-54C,"Malacate con manivela, 650 kg, con cable"
14721,MAW-91C,"Malacate con manivela, 1100 kg, con cable"
14722,MAW-27,"Malacate con manivela, 270 kgs"
14723,MAW-54,"Malacate con manivela, 540 kgs"
14724,MAW-91,"Malacate con manivela, 910 kgs"
14725,MAL-2,"Malacate, 2 toneladas"
14727,MAL-4,"Malacate, 4 toneladas"
14802,GAPRO-3.5PB,"Gato de patín profesional, 3.5 tons, elevación rápida"
14804,GAPA-2EM,"Gato hidráulico de patín, 2 toneladas. con maletín"
14806,GAPRO-3PB,"Gato de patín profesional, 3 toneladas, elevación rápida"
14810,GAT-2,"Gato de botella, 2 tons"
14811,EMP-GAT-2,Empaques de repuesto para gato de botella de 2 toneladas
14812,GAT-4,"Gato de botella, 4 tons"
14813,EMP-GAT-4,Empaques de repuesto para gato de botella de 4 toneladas
14814,GAT-6,"Gato de botella, 6 tons"
14815,EMP-GAT-6,Empaques de repuesto para gato de botella de 6 toneladas
14816,GAT-8,"Gato de botella, 8 tons"
14817,EMP-GAT-8,Empaques de repuesto para gato de botella de 8 toneladas
14818,GAT-12,"Gato de botella, 12 tons"
14819,GAT-32,"Gato de botella, 32 tons"
14820,GAT-16,"Gato de botella, 16 tons"
14821,GAT-50,"Gato de botella, 50 tons"
14822,GAT-20,"Gato de botella, 20 tons"
14824,GAPA-2,"Gato de patín, reforzado, 2 tons"
14826,GAPA-2M,"Gato de patín, 2 toneladas con maletín"
14841,PORPO-10,"Porto power hidráulico, 10 toneladas"
14842,EMP-GAT-12,Empaques de repuesto para gato de botella de 12 toneladas
14843,TORAU-3,"Torre para auto, 3 toneladas, 2 piezas"
14844,EMP-GAT-16,Empaques de repuesto para gato de botella de 16 toneladas
14845,TORAU-6,"Torre para auto, 6 toneladas, 2 piezas"
14846,EMP-GAT-20,Empaques de repuesto para gato de botella de 20 toneladas
14847,TORAU-12,"Torre para auto, 12 toneladas, 2 piezas"
14848,EMP-GAT-32,Empaques de repuesto para gato de botella de 32 toneladas
14849,CATA-48,Cama / banco de taller 48'
14850,EMP-GAT-50,Empaques de repuesto para gato de botella de 50 toneladas
14859,GRAS-13,"Grasera 14 oz, 4,500 lb/pulg2"
14860,GRAS-14,"Grasera industrial, mgo antiderrapante, 14oz, 6,000 lb/pulg2"
14861,GRAS-15,"Grasera industrial, 14 oz, 6,000 lb/pulg2"
14862,BO-FLEX-12,Extensión flexible para graseras
14863,BOM-TR,Bomba para inflar de 23'
14864,GRAS-NUT,Tuerca para graseras
14870,ACEF-180,"Aceitera de pipeta flexible, 180 ml"
14872,ACEF-300,"Aceitera de pipeta flexible, 300 ml"
14874,ACEF-500,"Aceitera de pipeta flexible, 500 ml"
14900,GT-26,"Guadaña tipo austriaca, 26'"
14901,GTX-26,"Guadaña tipo española, 26'"
14911,GRAS-3,Minigrasera 3 oz
14912,REP-GRAS-3,Repuesto de cartucho para grasera GRAS-3
14915,CA-IN-22,Guía de inglete 22'
14916,REP-IN-2214,"Segueta de repuesto para guía de inglete, 14 dpp"
14917,REP-IN-2218,"Segueta de repuesto para guía de inglete, 18 dpp"
14918,REP-IN-2224,"Segueta de repuesto para guía de inglete, 24 dpp"
14926,VGRAS-27,"Válvula check para grasera, 27 NPT"
14928,ACT-4T-16,"Aceite para motor de cuatro tiempos, 16 oz"
14929,ACT-4T-32,"Aceite para motor de cuatro tiempos, 32 oz"
14944,GAPA-2E,"Gato de patín, 2 toneladas"
14946,GAPA-250,"Gato de patín, 2.5 tons"
14947,GAPA-300,"Gato de patín, 3 tons"
14949,GAPRO-300,"Gato de patín profesional, 3 tons NO INCLUYE MALETÍN"
14950,HC-1-1/4,"Hacha cazadora, 1-1/4 lb, mango Hickory"
14951,HC-1-1/4F,"Hacha cazadora, 1-1/4 lb, mango fibra de vidrio"
14952,HH-1-1/2,"Hacha Doméstica, 1-1/2 lb"
14954,HE-1-1/4M,"Hacha Europea, 1-1/4 lb, mango Hickory"
14956,HB-2-1/4M,"Hacha Boy, 2-1/4 lb, mango Hickory"
14957,GAPRO-5,"Gato de patín, profesional, 5 tons"
14958,HM-3-1/2M,"Hacha Michigan, 3-1/2 lb, mango Hickory"
14961,PORPO-20,"Porto power hidráulico, 20 toneladas"
14962,HM-3-1/2F,"Hacha Michigan, 3-1/2 lb, mango fibra de vidrio"
14963,PORPO-4,"Porto power hidráulico, 4 toneladas"
14964,DHM-3-1/2M,"Hacha doble Michigan 3-1/2 lbs, mango de Hickory, 35'"
14965,D-3419-M,"Dado de 6 puntas, cuadro 3/4' de 19mm"
14966,PU-3-1/2M,"Hacha Pulaski, 3-1/2 lb, mango de Hickory, 35'"
14968,ML-3M,"Hacha media labor, 3 lbs, mango encino"
14969,D-3422-M,"Dado de 6 puntas, cuadro 3/4' de 22mm"
14970,ML-3-1/2M,"Hacha media labor, 3-1/2 lb, mango encino"
14971,D-3424-M,"Dado de 6 puntas, cuadro 3/4' de 24mm"
14972,ML-4M,"Hacha media labor, 4 lb, mango encino"
14973,D-3425-M,"Dado de 6 puntas, cuadro 3/4' de 25mm"
14974,ML-4-1/2M,"Hacha media labor, 4-1/2 lb, mango encino"
14975,D-3427-M,"Dado de 6 puntas, cuadro 3/4' de 27mm"
14976,LE-2-1/2M,"Hacha labor entera, 2-1/2 lb, mango encino"
14977,D-3428-M,"Dado de 6 puntas, cuadro 3/4' de 28mm"
14978,LE-3M,"Hacha labor entera, 3 lb, mango encino"
14979,D-3430-M,"Dado de 6 puntas, cuadro 3/4' de 30mm"
14980,LE-3-1/2M,"Hacha labor entera, 3-1/2 lb, mango encino"
14981,D-3432-M,"Dado de 6 puntas, cuadro 3/4' de 32mm"
14982,LE-4M,"Hacha labor entera, 4 lb, mango encino"
14983,D-3433-M,"Dado de 6 puntas, cuadro 3/4' de 33mm"
14984,HM-3-1/2,"Hacha Michigan, 3-1/2 lb, sin mango"
14985,D-3434-M,"Dado de 6 puntas, cuadro 3/4' de 34mm"
14986,ML-3,"Hacha media labor, 3 lbs, sin mango"
14987,D-3436-M,"Dado de 6 puntas, cuadro 3/4' de 36mm"
14988,ML-3-1/2,"Hacha tipo español, media labor, 3-1/2 lbs, sin mango"
14989,D-3438-M,"Dado de 6 puntas, cuadro 3/4' de 38mm"
14990,ML-4,"Hacha media labor, 4 lbs, sin mango"
14991,ACT-2T-2,"Aceite para motor de dos tiempos, 2 oz"
14992,ML-4-1/2,"Hacha media labor, 4-1/2 lbs, sin mango"
14993,D-3441-M,"Dado de 6 puntas, cuadro 3/4' de 41mm"
14994,LE-2-1/2,"Hacha labor entera, 2-1/2 lb, sin mango"
14995,D-3446-M,"Dado de 6 puntas, cuadro 3/4' de 46mm"
14996,LE-3,"Hacha labor entera, 3 lb, sin mango"
14997,D-3450-M,"Dado de 6 puntas, cuadro 3/4' de 50mm"
14998,LE-3-1/2,"Hacha labor entera, 3-1/2 lb, sin mango"
15000,LE-4,"Hacha labor entera, 4 lb, sin mango"
15001,BOS-1/2LPX,"Bomba sumergible, para agua limpia, metálica,uso rudo,1/2HP"
15002,BOS-3/4LPX,"Bomba sumergible para agua limpia, metálica,uso rudo, 3/4HP"
15003,BOS-1LPX,"Bomba sumergible para agua limpia, metálica,uso rudo, 1 HP"
15004,LI-CA-160,"Linterna de cabeza, 160 lúmenes, 1 LED"
15005,ESPO-1,"Estufilla portátil, encendido electrónico p/lata 1/4 vuelta"
15006,COMP-25LT,"Compresor 25 L, lubricado, 3 HP (potencia máxima), 120 V"
15007,COMP-50LT,"Compresor 50 L, lubricado, 3-1/2HP (potencia máxima), 120 V"
15010,CLANEU-16-25,"Clavos p/clavadora neumática CLNEU-2-1/2x, 25mm, 2500 pzas"
15011,CLANEU-16-30,"Clavos p/clavadora neumática CLNEU-2-1/2x, 30mm, 2500 pzas"
15012,CLANEU-16-32,"Clavos p/clavadora neumática CLNEU-2-1/2x, 32mm, 2500 pzas"
15013,CLANEU-16-38,"Clavos p/clavadora neumática CLNEU-2-1/2x, 38mm, 2500 pzas"
15014,CLANEU-16-40,"Clavos p/clavadora neumática CLNEU-2-1/2x, 40mm, 2500 pzas"
15015,CLANEU-16-45,"Clavos p/clavadora neumática CLNEU-2-1/2x, 45mm, 2500 pzas"
15016,CLANEU-16-50,"Clavos p/clavadora neumática CLNEU-2-1/2x, 50mm, 2500 pzas"
15017,CLANEU-16-64,"Clavos p/clavadora neumática CLNEU-2-1/2x, 64mm, 2500 pzas"
15020,GTS-SH,"Cuchara para jardín, 6'"
15021,ACT-2T-16M,"Aceite mineral para motor de dos tiempos, 16 oz"
15022,GTS-TR,"Transplantador para jardín, 6'"
15023,KIT-ROPI-420N,"Kit de rodillo para pintar, 4'(maneral, charola y felpa)"
15024,GTS-CV,"Cultivador para jardín, 6'"
15025,FF-7528,"Fléxometro Fatboy de 7.5 m, cinta 1-1/8'"
15026,GTS-FO,"Bieldo para jardín, 6'"
15027,RE-PIPI-200,"Repuestos de pistolas para pintar, PIPI-200"
15028,GTS-WE,"Deshierbador para jardín, 6'"
15029,CARB-SICI-7-1/4A3,Carbones de repuesto para sierra SICI-7-1/4A3
15030,JJ-4,"Juego herramientas para jardín 4 piezas, 6'"
15032,GTL-SH,"Cuchara para jardín, 15'"
15033,ESMA-4-1/2N6,"Esmeriladora angular 4-1/2', industrial, 720 W"
15034,GTL-TR,"Transplantador para jardín, 15'"
15036,GTL-CV,"Cultivador para jardín, 15'"
15037,TALI-18N2,"Taladro inalámbrico, industrial, batería ión Litio, 18 V"
15038,GTL-HO,"Azadón para jardín, 15'"
15039,ROTI-18N2,"Rotomartillo inalámbrico, industrial, batería ión Litio,18V"
15040,JJ-4L,"Juego herramientas para jardín 4 piezas, 15'"
15041,BAT-18N2,"Batería ión Litio, 18 V para TALI-18N2 y ROTI-18N2"
15043,CAR-18N2,Cargador de baterías ión Litio de 12 a 18 V
15068,BAV-1/16-N,"Broca de alta velocidad, oxido negro, 1/16'"
15069,BAV-5/64-N,"Broca de alta velocidad, oxido negro, 5/64'"
15076,BAV-3/32-N,"Broca de alta velocidad, oxido negro, 3/32'"
15077,BAV-7/64-N,"Broca de alta velocidad, oxido negro, 7/64'"
15078,BAV-1/8-N,"Broca de alta velocidad, oxido negro, 1/8'"
15079,BAV-9/64-N,"Broca de alta velocidad, oxido negro, 9/64'"
15080,PHP-1.5,Pluma hidraulica plegable 1.5 toneladas
15081,PAT-2HU,"Patín traspaleta 2 ton.ruedas delanteras de PU,traseras hule"
15082,PAT-2.5PU,Patín traspaleta 2.5 ton. ruedas de poliuretano
15083,PAT-3NY,Patín traspaleta 3 ton. ruedas de naylon
15084,BAV-5/32-N,"Broca de alta velocidad, oxido negro, 5/32'"
15085,BAV-11/64-N,"Broca de alta velocidad, oxido negro, 11/64'"
15086,BAV-3/16-N,"Broca de alta velocidad, oxido negro, 3/16'"
15087,BAV-13/64-N,"Broca de alta velocidad, oxido negro, 13/64'"
15088,BAV-7/32-N,"Broca de alta velocidad, oxido negro, 7/32'"
15089,BAV-15/64-N,"Broca de alta velocidad, oxido negro, 15/64'"
15090,LIOR-1/2NX,"Lijadora orbital, 1/2 hoja, industrial, 300 W"
15097,BAV-1/4-N,"Broca de alta velocidad, oxido negro, 1/4'"
15098,BAV-17/64-N,"Broca de alta velocidad, oxido negro, 17/64'"
15099,BAV-9/32-N,"Broca de alta velocidad, oxido negro, 9/32'"
15100,CO-15,Concha para carretilla CAT- 15
15101,DT-10,"Desarmador punta Torx, mango de acetato, T 10"
15102,DT-15,"Desarmador punta Torx, mango de acetato, T 15"
15103,DT-20,"Desarmador punta Torx, mango de acetato, T 20"
15104,DT-25,"Desarmador punta Torx, mango de acetato, T 25"
15105,DT-27,"Desarmador punta Torx, mango de acetato, T 27"
15106,DT-30,"Desarmador punta Torx, mango de acetato, T 30"
15107,CO-G,Coa gurbia
15119,LTP-5,"Lima triángulo pesado, 5'"
15120,HP-0,"Hoz dentada # 0, 16'"
15121,HP-1,"Hoz dentada # 1, 18'"
15122,HP-2,"Hoz dentada # 2, 20'"
15123,LTP-6,"Lima triángulo pesado,6'"
15124,LTP-7,"Lima triángulo pesado,7'"
15125,LTP-8,"Lima triángulo pesado, 8'"
15126,LTP-4,"Lima triángulo pesado, 4'"
15127,ACT-HOE,Deshierbador con mango de fresno de 54'
15128,LTR-6,"Lima triángulo regular, muza, 6'"
15129,LTR-7,"Lima triángulo regular, muza, 7'"
15130,LTR-8,"Lima triángulo regular, muza, 8'"
15133,LTD-6,"Lima triángulo doble, 6'"
15134,LTD-7,"Lima triángulo doble, 7'"
15135,LTD-8,"Lima triángulo doble, 8'"
15138,LPB-4,"Lima plana, bastarda, 4'"
15140,LPB-6,"Lima plana, bastarda, 6'"
15142,LPB-8,"Lima plana, bastarda, 8'"
15144,LPB-10,"Lima plana, bastarda, 10'"
15146,LPB-12,"Lima plana, bastarda, 12'"
15147,AFI-CUX,Afilador de cuchillos
15148,LPB-14,"Lima plana, bastarda, 14'"
15151,LPM-4,"Lima plana, muza, 4'"
15153,LPM-6,"Lima plana, muza, 6'"
15155,LPM-8,"Lima plana, muza, 8'"
15157,LPM-10,"Lima plana, muza, 10'"
15159,LPM-12,"Lima plana, muza, 12'"
15162,LPM-14,"Lima plana, muza, 14'"
15164,LMO-5/32X,"Lima para motosierra, 5/32', profesional"
15166,LMO-3/16X,"Lima para motosierra, 3/16', profesional"
15168,LMO-7/32X,"Lima para motosierra, 7/32', profesional"
15169,LMCB-6,"Lima media caña, bastarda, 6'"
15171,LMCB-8,"Lima media caña, bastarda, 8'"
15173,LMCB-10,"Lima media caña, bastarda, 10'"
15175,LMCB-12,"Lima media caña, bastarda, 12'"
15177,LMCM-6,"Lima media caña, muzas, 6'"
15179,LMCM-8,"Lima media caña, muzas, 8'"
15181,LMCM-10,"Lima media caña, muzas, 10'"
15183,LMCM-12,"Lima media caña, muzas, 12'"
15185,LRB-4,"Lima redonda, bastarda, 4'"
15187,LRB-6,"Lima redonda, bastarda, 6'"
15189,LRB-8,"Lima redonda, bastarda, 8'"
15191,LRB-10,"Lima redonda, bastarda, 10'"
15193,LRB-12,"Lima redonda, bastarda, 12'"
15195,LRM-6,"Lima redonda, muza, 6'"
15197,LRM-8,"Lima redonda, muza, 8'"
15199,LRM-10,"Lima redonda, muza, 10'"
15201,LRM-12,"Lima redonda, muza, 12'"
15203,LES-6,"Lima escofina, 6'"
15204,LEH-12,"Lima escofina para herrar, 12'"
15205,LES-8,"Lima escofina, 8'"
15206,LEH-14,"Lima escofina para herrar, 14'"
15207,LES-10,"Lima escofina, 10'"
15208,LEHE-14,"Lima escofina para herrar con zanco, 14'"
15209,LES-12,"Lima escofina, 12'"
15210,LHO-14,"Lima para hojalatero, 14'"
15238,LIJO-6,"Limas para joyero, 6 piezas"
15239,LIJO-10,"Limas para joyero, 10 piezas"
15240,LIJO-6X,"Limas para joyero, 6 piezas, con mango"
15242,GU-362,"Guantes industriales puño corto, talla mediana"
15243,GU-363,"Guantes industriales puño corto, talla grande"
15244,GU-835,"Guantes algodón recubierto con nitrilo, puño calcetín"
15245,GU-845,"Guantes algodón recubierto con nitrilo, puño seguridad"
15246,GU-515,Guantes para soldador
15248,GU-245,"Guantes carnaza, usos generales, corto"
15264,MASE-30,"Malla de seguridad, 30.5 mts"
15265,GU-JAR-C,"Guantes para jardinería, chicos"
15266,GU-JAR-M,"Guantes para jardinería, medianos"
15267,GU-JAR-G,"Guantes para jardinería, grandes"
15268,GU-332,"Guantes de látex para limpieza, medianos, reforzados"
15269,GU-333,"Guantes de látex para limpieza, grandes, reforzados"
15290,LEN-LN,"Lentes de seguridad, gris, Ultralite"
15295,LEN-LA,"Lentes de seguridad, ámbar, Ultralite"
15296,GU-371,"Guantes de látex, multiusos, chico"
15297,GU-372,"Guantes de látex, multiusos, mediano"
15298,GU-373,"Guantes de látex, multiusos, grande"
15299,GU-374,"Guantes de látex,multiusos,extra grande"
15304,LEDE-ST-R,"Lentes de seguridad, transparente con banda elástica"
15307,LTP-6T,"Lima triángulo pesado, 6' con mango doble inyección"
15308,LTP-8T,"Lima triángulo pesado, 8' con mango doble inyección"
15309,LPB-6T,"Lima plana, bastarda, 6' con mango doble inyección"
15311,LPB-8T,"Lima plana, bastarda, 8' con mango doble inyección"
15312,PONY-7,"Porta herramientas de poliéster, 7 compartimentos"
15313,PONY-13,"Porta herramientas de poliéster, 13 compartimentos"
15314,PONY-20,"Porta herramientas de poliester, 20 compartimentos"
15315,LRB-6T,"Lima redonda, bastarda, 6', con mango doble inyección"
15316,LRB-8T,"Lima redonda, bastarda, 8', con mango doble inyección"
